Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Mon, Apr 26, 2010;8:00p;Orlando Magic;99;Charlotte Bobcats;90;Box Score;;19,086;
Mon, Apr 26, 2010;8:30p;Atlanta Hawks;104;Milwaukee Bucks;111;Box Score;;18,717;
Mon, Apr 26, 2010;10:30p;Portland Trail Blazers;88;Phoenix Suns;107;Box Score;;18,422;
Tue, Apr 27, 2010;7:00p;Miami Heat;86;Boston Celtics;96;Box Score;;18,624;
Tue, Apr 27, 2010;8:00p;Chicago Bulls;94;Cleveland Cavaliers;96;Box Score;;20,562;
;;;;;;;;;
Tue, Apr 27, 2010;9:30p;San Antonio Spurs;81;Dallas Mavericks;103;Box Score;;20,557;
Tue, Apr 27, 2010;10:30p;Oklahoma City Thunder;87;Los Angeles Lakers;111;Box Score;;18,997;
Wed, Apr 28, 2010;8:00p;Milwaukee Bucks;91;Atlanta Hawks;87;Box Score;;19,304;
Wed, Apr 28, 2010;10:30p;Utah Jazz;102;Denver Nuggets;116;Box Score;;19,155;
Thu, Apr 29, 2010;8:00p;Dallas Mavericks;87;San Antonio Spurs;97;Box Score;;18,581;
Thu, Apr 29, 2010;10:30p;Phoenix Suns;99;Portland Trail Blazers;90;Box Score;;20,313;
Fri, Apr 30, 2010;7:00p;Atlanta Hawks;83;Milwaukee Bucks;69;Box Score;;18,717;
Fri, Apr 30, 2010;9:30p;Los Angeles Lakers;95;Oklahoma City Thunder;94;Box Score;;18,342;
Fri, Apr 30, 2010;10:00p;Denver Nuggets;104;Utah Jazz;112;Box Score;;19,911;
Sat, May 1, 2010;8:00p;Boston Celtics;93;Cleveland Cavaliers;101;Box Score;;20,562;
Sun, May 2, 2010;1:00p;Milwaukee Bucks;74;Atlanta Hawks;95;Box Score;;19,241;
Sun, May 2, 2010;3:30p;Utah Jazz;99;Los Angeles Lakers;104;Box Score;;18,997;
Mon, May 3, 2010;8:00p;Boston Celtics;104;Cleveland Cavaliers;86;Box Score;;20,562;
Mon, May 3, 2010;10:30p;San Antonio Spurs;102;Phoenix Suns;111;Box Score;;18,422;
Tue, May 4, 2010;8:00p;Atlanta Hawks;71;Orlando Magic;114;Box Score;;17,461;
Tue, May 4, 2010;10:30p;Utah Jazz;103;Los Angeles Lakers;111;Box Score;;18,997;
Wed, May 5, 2010;9:00p;San Antonio Spurs;102;Phoenix Suns;110;Box Score;;18,422;
Thu, May 6, 2010;8:00p;Atlanta Hawks;98;Orlando Magic;112;Box Score;;17,461;
Fri, May 7, 2010;7:00p;Cleveland Cavaliers;124;Boston Celtics;95;Box Score;;18,624;
Fri, May 7, 2010;9:30p;Phoenix Suns;110;San Antonio Spurs;96;Box Score;;18,581;
Sat, May 8, 2010;5:00p;Orlando Magic;105;Atlanta Hawks;75;Box Score;;18,729;
Sat, May 8, 2010;8:00p;Los Angeles Lakers;111;Utah Jazz;110;Box Score;;19,911;
Sun, May 9, 2010;3:30p;Cleveland Cavaliers;87;Boston Celtics;97;Box Score;;18,624;
Sun, May 9, 2010;8:00p;Phoenix Suns;107;San Antonio Spurs;101;Box Score;;18,581;
Mon, May 10, 2010;8:00p;Orlando Magic;98;Atlanta Hawks;84;Box Score;;18,729;
Mon, May 10, 2010;10:30p;Los Angeles Lakers;111;Utah Jazz;96;Box Score;;19,911;
Tue, May 11, 2010;8:00p;Boston Celtics;120;Cleveland Cavaliers;88;Box Score;;20,562;
Thu, May 13, 2010;8:00p;Cleveland Cavaliers;85;Boston Celtics;94;Box Score;;18,624;
Sun, May 16, 2010;3:30p;Boston Celtics;92;Orlando Magic;88;Box Score;;17,461;
Mon, May 17, 2010;9:00p;Phoenix Suns;107;Los Angeles Lakers;128;Box Score;;18,997;
Tue, May 18, 2010;8:30p;Boston Celtics;95;Orlando Magic;92;Box Score;;17,461;
Wed, May 19, 2010;9:00p;Phoenix Suns;112;Los Angeles Lakers;124;Box Score;;18,997;
Sat, May 22, 2010;8:30p;Orlando Magic;71;Boston Celtics;94;Box Score;;18,624;
Sun, May 23, 2010;8:30p;Los Angeles Lakers;109;Phoenix Suns;118;Box Score;;18,422;
Mon, May 24, 2010;8:30p;Orlando Magic;96;Boston Celtics;92;Box Score;OT;18,624;
;;;;;;;;;
Tue, May 25, 2010;9:00p;Los Angeles Lakers;106;Phoenix Suns;115;Box Score;;18,422;
Wed, May 26, 2010;8:30p;Boston Celtics;92;Orlando Magic;113;Box Score;;17,461;
Thu, May 27, 2010;9:00p;Phoenix Suns;101;Los Angeles Lakers;103;Box Score;;18,997;
Fri, May 28, 2010;8:30p;Orlando Magic;84;Boston Celtics;96;Box Score;;18,624;
Sat, May 29, 2010;8:30p;Los Angeles Lakers;111;Phoenix Suns;103;Box Score;;18,422;
Thu, Jun 3, 2010;9:00p;Boston Celtics;89;Los Angeles Lakers;102;Box Score;;18,997;
Sun, Jun 6, 2010;8:00p;Boston Celtics;103;Los Angeles Lakers;94;Box Score;;18,997;
Tue, Jun 8, 2010;9:00p;Los Angeles Lakers;91;Boston Celtics;84;Box Score;;18,624;
Thu, Jun 10, 2010;9:00p;Los Angeles Lakers;89;Boston Celtics;96;Box Score;;18,624;
Sun, Jun 13, 2010;8:00p;Los Angeles Lakers;86;Boston Celtics;92;Box Score;;18,624;
Tue, Jun 15, 2010;9:00p;Boston Celtics;67;Los Angeles Lakers;89;Box Score;;18,997;
Thu, Jun 17, 2010;9:00p;Boston Celtics;79;Los Angeles Lakers;83;Box Score;;18,997;
