Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Mon, May 15, 2017;8:00p;Washington Wizards;105;Boston Celtics;115;Box Score;;18,624;
Tue, May 16, 2017;9:00p;San Antonio Spurs;100;Golden State Warriors;136;Box Score;;19,596;
Wed, May 17, 2017;8:30p;Cleveland Cavaliers;117;Boston Celtics;104;Box Score;;18,624;
Fri, May 19, 2017;8:30p;Cleveland Cavaliers;130;Boston Celtics;86;Box Score;;18,624;
Sat, May 20, 2017;9:00p;Golden State Warriors;120;San Antonio Spurs;108;Box Score;;18,792;
;;;;;;;;;
Sun, May 21, 2017;8:30p;Boston Celtics;111;Cleveland Cavaliers;108;Box Score;;20,562;
Mon, May 22, 2017;9:00p;Golden State Warriors;129;San Antonio Spurs;115;Box Score;;18,466;
Tue, May 23, 2017;8:30p;Boston Celtics;99;Cleveland Cavaliers;112;Box Score;;20,562;
Thu, May 25, 2017;8:30p;Cleveland Cavaliers;135;Boston Celtics;102;Box Score;;18,624;
Thu, Jun 1, 2017;9:00p;Cleveland Cavaliers;91;Golden State Warriors;113;Box Score;;19,596;
Sun, Jun 4, 2017;8:00p;Cleveland Cavaliers;113;Golden State Warriors;132;Box Score;;19,596;
Wed, Jun 7, 2017;9:00p;Golden State Warriors;118;Cleveland Cavaliers;113;Box Score;;20,562;
Fri, Jun 9, 2017;9:00p;Golden State Warriors;116;Cleveland Cavaliers;137;Box Score;;20,562;
Mon, Jun 12, 2017;9:00p;Cleveland Cavaliers;120;Golden State Warriors;129;Box Score;;19,596;
