Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 26, 2014;4:30p;San Antonio Spurs;108;Dallas Mavericks;109;Box Score;;20,636;
Sat, Apr 26, 2014;7:00p;Miami Heat;98;Charlotte Bobcats;85;Box Score;;19,633;
Sat, Apr 26, 2014;9:30p;Oklahoma City Thunder;92;Memphis Grizzlies;89;Box Score;OT;18,119;
Sun, Apr 27, 2014;1:00p;Chicago Bulls;89;Washington Wizards;98;Box Score;;20,356;
Sun, Apr 27, 2014;3:30p;Los Angeles Clippers;97;Golden State Warriors;118;Box Score;;19,596;
Sun, Apr 27, 2014;7:00p;Toronto Raptors;87;Brooklyn Nets;79;Box Score;;17,732;
Sun, Apr 27, 2014;9:30p;Houston Rockets;120;Portland Trail Blazers;123;Box Score;OT;20,246;
Mon, Apr 28, 2014;7:00p;Miami Heat;109;Charlotte Bobcats;98;Box Score;;19,092;
Mon, Apr 28, 2014;8:00p;Atlanta Hawks;107;Indiana Pacers;97;Box Score;;18,165;
Mon, Apr 28, 2014;9:30p;San Antonio Spurs;93;Dallas Mavericks;89;Box Score;;20,796;
Tue, Apr 29, 2014;8:00p;Washington Wizards;75;Chicago Bulls;69;Box Score;;21,752;
Tue, Apr 29, 2014;9:00p;Memphis Grizzlies;100;Oklahoma City Thunder;99;Box Score;OT;18,203;
;;;;;;;;;
Tue, Apr 29, 2014;10:30p;Golden State Warriors;103;Los Angeles Clippers;113;Box Score;;19,657;
Wed, Apr 30, 2014;7:00p;Dallas Mavericks;103;San Antonio Spurs;109;Box Score;;18,581;
Wed, Apr 30, 2014;7:30p;Brooklyn Nets;113;Toronto Raptors;115;Box Score;;20,393;
Wed, Apr 30, 2014;9:30p;Portland Trail Blazers;98;Houston Rockets;108;Box Score;;18,23;
Thu, May 1, 2014;7:00p;Indiana Pacers;95;Atlanta Hawks;88;Box Score;;19,044;
Thu, May 1, 2014;8:00p;Oklahoma City Thunder;104;Memphis Grizzlies;84;Box Score;;18,119;
Thu, May 1, 2014;10:30p;Los Angeles Clippers;99;Golden State Warriors;100;Box Score;;19,596;
Fri, May 2, 2014;7:00p;Toronto Raptors;83;Brooklyn Nets;97;Box Score;;17,732;
Fri, May 2, 2014;8:00p;San Antonio Spurs;111;Dallas Mavericks;113;Box Score;;20,799;
Fri, May 2, 2014;10:30p;Houston Rockets;98;Portland Trail Blazers;99;Box Score;;20,204;
Sat, May 3, 2014;5:30p;Atlanta Hawks;80;Indiana Pacers;92;Box Score;;18,165;
Sat, May 3, 2014;8:00p;Memphis Grizzlies;109;Oklahoma City Thunder;120;Box Score;;18,203;
Sat, May 3, 2014;10:30p;Golden State Warriors;121;Los Angeles Clippers;126;Box Score;;19,543;
Sun, May 4, 2014;1:00p;Brooklyn Nets;104;Toronto Raptors;103;Box Score;;20,457;
Sun, May 4, 2014;3:30p;Dallas Mavericks;96;San Antonio Spurs;119;Box Score;;18,581;
Mon, May 5, 2014;7:00p;Washington Wizards;102;Indiana Pacers;96;Box Score;;18,165;
Mon, May 5, 2014;9:42p;Los Angeles Clippers;122;Oklahoma City Thunder;105;Box Score;;18,203;
Tue, May 6, 2014;7:00p;Brooklyn Nets;86;Miami Heat;107;Box Score;;19,47;
Tue, May 6, 2014;9:30p;Portland Trail Blazers;92;San Antonio Spurs;116;Box Score;;18,581;
Wed, May 7, 2014;7:00p;Washington Wizards;82;Indiana Pacers;86;Box Score;;18,165;
Wed, May 7, 2014;9:30p;Los Angeles Clippers;101;Oklahoma City Thunder;112;Box Score;;18,203;
Thu, May 8, 2014;7:00p;Brooklyn Nets;82;Miami Heat;94;Box Score;;19,639;
Thu, May 8, 2014;9:30p;Portland Trail Blazers;97;San Antonio Spurs;114;Box Score;;18,581;
Fri, May 9, 2014;8:00p;Indiana Pacers;85;Washington Wizards;63;Box Score;;20,356;
Fri, May 9, 2014;10:30p;Oklahoma City Thunder;118;Los Angeles Clippers;112;Box Score;;19,53;
Sat, May 10, 2014;8:00p;Miami Heat;90;Brooklyn Nets;104;Box Score;;17,732;
Sat, May 10, 2014;10:30p;San Antonio Spurs;118;Portland Trail Blazers;103;Box Score;;20,321;
Sun, May 11, 2014;3:30p;Oklahoma City Thunder;99;Los Angeles Clippers;101;Box Score;;19,365;
Sun, May 11, 2014;8:00p;Indiana Pacers;95;Washington Wizards;92;Box Score;;20,356;
Mon, May 12, 2014;8:00p;Miami Heat;102;Brooklyn Nets;96;Box Score;;17,732;
Mon, May 12, 2014;10:30p;San Antonio Spurs;92;Portland Trail Blazers;103;Box Score;;20,141;
Tue, May 13, 2014;7:00p;Washington Wizards;102;Indiana Pacers;79;Box Score;;18,165;
Tue, May 13, 2014;9:30p;Los Angeles Clippers;104;Oklahoma City Thunder;105;Box Score;;18,203;
Wed, May 14, 2014;7:00p;Brooklyn Nets;94;Miami Heat;96;Box Score;;19,615;
Wed, May 14, 2014;9:30p;Portland Trail Blazers;82;San Antonio Spurs;104;Box Score;;18,581;
;;;;;;;;;
Thu, May 15, 2014;8:00p;Indiana Pacers;93;Washington Wizards;80;Box Score;;19,502;
Thu, May 15, 2014;10:30p;Oklahoma City Thunder;104;Los Angeles Clippers;98;Box Score;;19,565;
Sun, May 18, 2014;3:30p;Miami Heat;96;Indiana Pacers;107;Box Score;;18,165;
Mon, May 19, 2014;9:00p;Oklahoma City Thunder;105;San Antonio Spurs;122;Box Score;;18,581;
Tue, May 20, 2014;8:30p;Miami Heat;87;Indiana Pacers;83;Box Score;;18,165;
Wed, May 21, 2014;9:00p;Oklahoma City Thunder;77;San Antonio Spurs;112;Box Score;;18,581;
Sat, May 24, 2014;8:30p;Indiana Pacers;87;Miami Heat;99;Box Score;;20,025;
Sun, May 25, 2014;8:30p;San Antonio Spurs;97;Oklahoma City Thunder;106;Box Score;;18,203;
Mon, May 26, 2014;8:30p;Indiana Pacers;90;Miami Heat;102;Box Score;;19,874;
Tue, May 27, 2014;9:00p;San Antonio Spurs;92;Oklahoma City Thunder;105;Box Score;;18,203;
Wed, May 28, 2014;8:30p;Miami Heat;90;Indiana Pacers;93;Box Score;;18,165;
Thu, May 29, 2014;9:00p;Oklahoma City Thunder;89;San Antonio Spurs;117;Box Score;;18,581;
Fri, May 30, 2014;8:30p;Indiana Pacers;92;Miami Heat;117;Box Score;;20,021;
Sat, May 31, 2014;8:30p;San Antonio Spurs;112;Oklahoma City Thunder;107;Box Score;OT;18,203;
