Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Tue, Apr 24, 2018;7:00p;Milwaukee Bucks;87;Boston Celtics;92;Box Score;;18,624;
Tue, Apr 24, 2018;8:00p;Miami Heat;91;Philadelphia 76ers;104;Box Score;;21,171;
Tue, Apr 24, 2018;10:30p;San Antonio Spurs;91;Golden State Warriors;99;Box Score;;19,596;
;;;;;;;;;
Wed, Apr 25, 2018;7:00p;Indiana Pacers;95;Cleveland Cavaliers;98;Box Score;;20,562;
Wed, Apr 25, 2018;7:00p;Washington Wizards;98;Toronto Raptors;108;Box Score;;19,987;
Wed, Apr 25, 2018;9:30p;Minnesota Timberwolves;104;Houston Rockets;122;Box Score;;18,055;
Wed, Apr 25, 2018;9:30p;Utah Jazz;99;Oklahoma City Thunder;107;Box Score;;18,203;
Thu, Apr 26, 2018;8:00p;Boston Celtics;86;Milwaukee Bucks;97;Box Score;;18,717;
Fri, Apr 27, 2018;7:00p;Toronto Raptors;102;Washington Wizards;92;Box Score;;20,356;
Fri, Apr 27, 2018;8:00p;Cleveland Cavaliers;87;Indiana Pacers;121;Box Score;;17,923;
Fri, Apr 27, 2018;10:30p;Oklahoma City Thunder;91;Utah Jazz;96;Box Score;;18,306;
Sat, Apr 28, 2018;8:00p;Milwaukee Bucks;96;Boston Celtics;112;Box Score;;18,624;
Sat, Apr 28, 2018;10:30p;New Orleans Pelicans;101;Golden State Warriors;123;Box Score;;19,596;
Sun, Apr 29, 2018;1:00p;Indiana Pacers;101;Cleveland Cavaliers;105;Box Score;;20,562;
Sun, Apr 29, 2018;3:30p;Utah Jazz;96;Houston Rockets;110;Box Score;;18,055;
Mon, Apr 30, 2018;8:00p;Philadelphia 76ers;101;Boston Celtics;117;Box Score;;18,624;
Tue, May 1, 2018;8:00p;Cleveland Cavaliers;113;Toronto Raptors;112;Box Score;OT;19,954;
Tue, May 1, 2018;10:30p;New Orleans Pelicans;116;Golden State Warriors;121;Box Score;;19,596;
Wed, May 2, 2018;8:00p;Utah Jazz;116;Houston Rockets;108;Box Score;;18,055;
Thu, May 3, 2018;6:00p;Cleveland Cavaliers;128;Toronto Raptors;110;Box Score;;20,127;
Thu, May 3, 2018;8:30p;Philadelphia 76ers;103;Boston Celtics;108;Box Score;;18,624;
Fri, May 4, 2018;8:00p;Golden State Warriors;100;New Orleans Pelicans;119;Box Score;;18,551;
Fri, May 4, 2018;10:30p;Houston Rockets;113;Utah Jazz;92;Box Score;;18,306;
Sat, May 5, 2018;5:00p;Boston Celtics;101;Philadelphia 76ers;98;Box Score;OT;20,758;
Sat, May 5, 2018;8:30p;Toronto Raptors;103;Cleveland Cavaliers;105;Box Score;;20,562;
Sun, May 6, 2018;3:30p;Golden State Warriors;118;New Orleans Pelicans;92;Box Score;;18,513;
Sun, May 6, 2018;8:00p;Houston Rockets;100;Utah Jazz;87;Box Score;;18,306;
Mon, May 7, 2018;6:00p;Boston Celtics;92;Philadelphia 76ers;103;Box Score;;20,936;
Mon, May 7, 2018;8:30p;Toronto Raptors;93;Cleveland Cavaliers;128;Box Score;;20,562;
Tue, May 8, 2018;8:00p;Utah Jazz;102;Houston Rockets;112;Box Score;;18,055;
Tue, May 8, 2018;10:30p;New Orleans Pelicans;104;Golden State Warriors;113;Box Score;;19,596;
Wed, May 9, 2018;8:00p;Philadelphia 76ers;112;Boston Celtics;114;Box Score;;18,624;
Sun, May 13, 2018;3:30p;Cleveland Cavaliers;83;Boston Celtics;108;Box Score;;18,624;
Mon, May 14, 2018;9:00p;Golden State Warriors;119;Houston Rockets;106;Box Score;;18,055;
Tue, May 15, 2018;8:30p;Cleveland Cavaliers;94;Boston Celtics;107;Box Score;;18,624;
Wed, May 16, 2018;9:00p;Golden State Warriors;105;Houston Rockets;127;Box Score;;18,119;
Sat, May 19, 2018;8:30p;Boston Celtics;86;Cleveland Cavaliers;116;Box Score;;20,562;
Sun, May 20, 2018;8:00p;Houston Rockets;85;Golden State Warriors;126;Box Score;;19,596;
;;;;;;;;;
Mon, May 21, 2018;8:30p;Boston Celtics;102;Cleveland Cavaliers;111;Box Score;;20,562;
Tue, May 22, 2018;9:00p;Houston Rockets;95;Golden State Warriors;92;Box Score;;19,596;
Wed, May 23, 2018;8:30p;Cleveland Cavaliers;83;Boston Celtics;96;Box Score;;18,624;
Thu, May 24, 2018;9:00p;Golden State Warriors;94;Houston Rockets;98;Box Score;;18,208;
Fri, May 25, 2018;8:30p;Boston Celtics;99;Cleveland Cavaliers;109;Box Score;;20,562;
Sat, May 26, 2018;9:00p;Houston Rockets;86;Golden State Warriors;115;Box Score;;19,596;
Sun, May 27, 2018;8:30p;Cleveland Cavaliers;87;Boston Celtics;79;Box Score;;18,624;
Mon, May 28, 2018;9:00p;Golden State Warriors;101;Houston Rockets;92;Box Score;;18,055;
Thu, May 31, 2018;9:00p;Cleveland Cavaliers;114;Golden State Warriors;124;Box Score;OT;19,596;
Sun, Jun 3, 2018;8:00p;Cleveland Cavaliers;103;Golden State Warriors;122;Box Score;;19,596;
Wed, Jun 6, 2018;9:00p;Golden State Warriors;110;Cleveland Cavaliers;102;Box Score;;20,562;
Fri, Jun 8, 2018;9:00p;Golden State Warriors;108;Cleveland Cavaliers;85;Box Score;;20,562;
