Player,Pos,Age,Team,Games,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Malik Monk,SG,21,CHO,55,1,1169,6.5,15.0,.434,1.8,6.3,.284,4.7,8.7,.542,2.5,3.1,.820,0.8,4.0,4.8,3.5,0.8,0.5,2.4,2.3,17.4
Matt Mooney,SG,22,CLE,4,0,19,1.9,7.6,.250,0.0,3.8,.000,1.9,3.8,.500,0.0,0.0,,0.0,5.7,5.7,1.9,3.8,1.9,0.0,1.9,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E'Twaun Moore,SG,30,NOP,51,5,958,6.5,15.4,.424,2.3,6.0,.375,4.3,9.4,.456,1.1,1.6,.674,1.1,3.5,4.6,2.7,1.1,0.4,1.4,2.9,16.4
Ja Morant,PG,20,MEM,59,59,1771,8.0,16.3,.491,1.0,2.8,.367,7.0,13.4,.517,4.1,5.4,.770,0.9,3.3,4.2,8.3,1.1,0.3,3.9,1.8,21.2
Juwan Morgan,PF,22,UTA,16,0,74,4.4,8.3,.529,0.5,2.4,.200,3.9,5.8,.667,0.0,0.0,,2.4,6.8,9.2,1.0,0.0,0.5,1.5,3.4,9.2
Marcus Morris,SF-PF,30,TOT,55,55,1727,6.8,15.6,.433,2.8,6.8,.410,4.0,8.9,.451,3.6,4.4,.823,1.1,4.7,5.9,1.6,0.9,0.6,1.8,3.4,19.9
Marcus Morris,SF,30,NYK,43,43,1387,7.3,16.5,.442,3.0,6.9,.439,4.3,9.7,.444,4.2,5.1,.823,1.2,4.8,6.0,1.5,0.9,0.4,1.9,3.3,21.8
Marcus Morris,PF,30,LAC,12,12,340,4.7,12.1,.386,1.8,6.4,.283,2.9,5.7,.500,1.0,1.2,.818,0.7,4.3,5.1,1.9,0.8,1.1,1.6,3.5,12.1
Markieff Morris,PF,30,TOT,52,16,1106,6.2,13.8,.445,2.6,6.8,.386,3.5,7.0,.502,2.1,2.7,.783,1.1,5.4,6.5,2.4,0.9,0.5,2.4,3.9,17.1
Markieff Morris,PF,30,DET,44,16,988,6.4,14.2,.450,2.7,6.9,.397,3.6,7.3,.500,2.2,2.9,.772,0.9,5.4,6.3,2.5,0.9,0.4,2.6,3.8,17.7
Markieff Morris,PF,30,LAL,8,0,118,4.3,11.0,.389,1.8,6.4,.286,2.4,4.6,.533,1.2,1.2,1.000,3.1,4.9,7.9,1.5,0.6,1.2,1.5,4.9,11.6
Monte Morris,PG,24,DEN,65,8,1402,5.7,12.4,.459,1.4,3.7,.375,4.3,8.7,.494,1.3,1.6,.823,0.5,2.4,2.9,5.9,1.4,0.4,1.2,1.6,14.1
Johnathan Motley,PF,24,LAC,13,0,41,9.7,13.2,.733,0.9,0.9,1.000,8.8,12.3,.714,4.4,6.1,.714,2.6,6.1,8.8,7.0,2.6,0.0,4.4,5.3,24.6
Emmanuel Mudiay,PG,23,UTA,48,1,752,6.5,13.8,.471,1.3,3.6,.355,5.2,10.2,.512,2.5,3.3,.754,0.8,4.7,5.5,5.1,0.9,0.5,3.1,3.1,16.8
Mychal Mulder,SG,25,GSW,7,3,204,4.6,11.8,.388,2.8,9.2,.308,1.8,2.6,.667,1.6,2.1,.750,0.5,3.5,4.1,1.4,0.4,0.2,0.9,3.5,13.6
Dejounte Murray,PG,23,SAS,58,50,1447,6.3,13.4,.475,0.8,2.2,.378,5.5,11.1,.494,1.9,2.3,.798,1.7,6.7,8.3,5.9,2.5,0.4,2.7,3.2,15.4
Jamal Murray,PG,22,DEN,55,55,1804,7.7,16.9,.455,2.1,6.1,.345,5.6,10.8,.517,3.2,3.5,.893,0.8,3.5,4.3,5.3,1.3,0.3,2.5,1.9,20.6
Dzanan Musa,SF,20,BRK,35,0,404,4.5,12.4,.360,1.3,5.8,.231,3.1,6.6,.473,2.9,3.9,.750,1.7,4.6,6.3,2.8,1.2,0.1,2.6,2.2,13.2
Mike Muscala,C,28,OKC,41,0,492,4.7,11.6,.403,3.1,8.8,.358,1.5,2.9,.538,1.3,1.6,.818,1.0,5.9,6.9,2.5,0.6,0.8,1.0,3.7,13.8
Sviatoslav Mykhailiuk,SF,22,DET,56,27,1265,4.7,11.5,.410,3.3,8.1,.404,1.5,3.4,.425,1.6,2.0,.814,0.5,2.5,3.0,3.0,1.2,0.1,1.7,2.5,14.3
Abdel Nader,SF,26,OKC,48,5,756,4.8,10.5,.455,1.9,5.0,.371,2.9,5.5,.530,2.3,3.0,.774,0.7,3.6,4.3,1.7,1.0,1.0,1.7,3.1,13.7
Larry Nance Jr.,C,27,CLE,56,10,1472,5.6,10.5,.531,1.4,3.9,.352,4.2,6.7,.636,1.2,1.8,.676,2.6,7.4,10.0,3.0,1.4,0.5,1.5,2.2,13.8
Shabazz Napier,PG,28,TOT,51,30,1234,5.0,12.0,.412,2.1,6.5,.320,2.9,5.6,.518,3.4,4.1,.823,0.7,3.5,4.3,7.4,1.9,0.3,3.2,2.7,15.4
Shabazz Napier,PG,28,MIN,36,22,856,4.8,11.9,.403,2.0,6.7,.296,2.8,5.2,.540,3.0,3.7,.818,0.7,3.9,4.6,7.9,1.7,0.3,3.2,2.6,14.6
Shabazz Napier,PG,28,WAS,15,8,378,5.3,12.4,.431,2.3,6.0,.381,3.0,6.4,.478,4.2,5.0,.830,0.8,2.7,3.4,6.3,2.5,0.2,3.3,3.0,17.1
Raul Neto,PG,27,PHI,49,3,565,5.0,11.2,.451,1.8,4.5,.394,3.2,6.6,.490,1.7,2.0,.839,0.7,2.6,3.3,4.9,1.4,0.3,2.7,2.7,13.5
Malik Newman,SG,22,CLE,1,0,4,0.0,18.0,.000,0.0,9.0,.000,0.0,9.0,.000,18.0,18.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0
Georges Niang,PF,26,UTA,58,0,772,5.6,12.4,.453,3.6,8.6,.416,2.0,3.7,.538,0.9,1.0,.864,0.6,4.5,5.1,1.6,0.6,0.2,1.2,2.9,15.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nerlens Noel,C,25,OKC,55,6,1014,6.2,9.0,.685,0.0,0.1,.333,6.1,8.9,.689,2.7,3.5,.765,2.9,6.7,9.6,1.9,2.0,2.9,1.9,5.1,15.1
Zach Norvell,SG,22,TOT,5,0,41,2.6,10.5,.250,2.6,7.0,.375,0.0,3.5,.000,0.9,0.9,1.000,0.0,5.3,5.3,2.6,1.8,0.0,2.6,3.5,8.8
Zach Norvell,SG,22,LAL,2,0,5,0.0,7.2,.000,0.0,0.0,,0.0,7.2,.000,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0
Zach Norvell,SG,22,GSW,3,0,36,3.0,11.0,.273,3.0,8.0,.375,0.0,3.0,.000,1.0,1.0,1.000,0.0,5.0,5.0,3.0,2.0,0.0,3.0,4.0,10.0
Jaylen Nowell,SG,20,MIN,15,0,151,4.5,12.6,.358,0.7,6.2,.115,3.8,6.4,.593,3.8,4.1,.941,0.7,2.4,3.1,4.5,0.7,0.2,0.7,2.6,13.6
Frank Ntilikina,PG,21,NYK,57,26,1187,4.0,10.1,.393,1.3,4.2,.321,2.6,5.9,.444,1.5,1.8,.864,0.7,3.0,3.7,5.2,1.6,0.5,2.2,4.3,10.8
Kendrick Nunn,SG,24,MIA,62,62,1846,7.4,16.6,.448,2.6,7.1,.362,4.9,9.5,.512,1.5,1.8,.837,0.4,2.9,3.3,4.1,1.0,0.2,2.0,2.8,18.9
David Nwaba,SF,27,BRK,20,0,268,5.0,9.5,.521,1.6,3.8,.429,3.4,5.8,.581,2.4,3.6,.667,1.1,5.0,6.0,1.1,1.5,1.6,1.1,4.3,14.0
Royce O'Neale,PF,26,UTA,64,55,1862,2.7,6.2,.439,1.6,4.1,.389,1.1,2.1,.536,0.7,0.9,.735,0.4,6.1,6.6,3.2,0.9,0.5,1.0,3.5,7.7
Kyle O'Quinn,C,29,PHI,26,1,258,4.9,10.0,.486,1.0,3.2,.304,3.9,6.8,.571,1.4,2.7,.526,4.5,9.2,13.7,4.9,0.7,3.1,2.5,4.9,12.1
