Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Thu, Feb 5, 2015,8:00p,,Box Score,@,Cleveland Cavaliers,L,,94,105,33,17,L 2,
Fri, Feb 6, 2015,7:00p,,Box Score,@,Toronto Raptors,L,,107,123,33,18,L 3,
Sun, Feb 8, 2015,1:00p,,Box Score,@,Oklahoma City Thunder,L,,108,131,33,19,L 4,
Mon, Feb 9, 2015,8:30p,,Box Score,@,Dallas Mavericks,W,,115,98,34,19,W 1,
Wed, Feb 11, 2015,10:30p,,Box Score,,Houston Rockets,W,,110,95,35,19,W 2,
Thu, Feb 19, 2015,10:30p,,Box Score,,San Antonio Spurs,W,,119,115,36,19,W 3,
Sat, Feb 21, 2015,10:00p,,Box Score,,Sacramento Kings,W,,126,99,37,19,W 4,
Mon, Feb 23, 2015,10:30p,,Box Score,,Memphis Grizzlies,L,,87,90,37,20,L 1,
Wed, Feb 25, 2015,8:00p,ESPN,Box Score,@,Houston Rockets,L,,105,110,37,21,L 2,
Fri, Feb 27, 2015,8:00p,,Box Score,@,Memphis Grizzlies,W,,97,79,38,21,W 1,
Sun, Mar 1, 2015,1:00p,ABC,Box Score,@,Chicago Bulls,W,,96,86,39,21,W 2,
,,,,,,,,,,,,,
Mon, Mar 2, 2015,8:00p,,Box Score,@,Minnesota Timberwolves,W,,110,105,40,21,W 3,
Wed, Mar 4, 2015,10:30p,ESPN,Box Score,,Portland Trail Blazers,L,OT,93,98,40,22,L 1,
Sun, Mar 8, 2015,3:30p,ABC,Box Score,@,Golden State Warriors,L,,98,106,40,23,L 2,
Mon, Mar 9, 2015,10:30p,,Box Score,,Minnesota Timberwolves,W,,89,76,41,23,W 1,
Wed, Mar 11, 2015,8:00p,ESPN,Box Score,@,Oklahoma City Thunder,W,,120,108,42,23,W 2,
Fri, Mar 13, 2015,8:30p,NBATV,Box Score,@,Dallas Mavericks,L,,99,129,42,24,L 1,
